search algorithm,Plan Length
breadth_first_search,6
depth_first_graph_search,20
uniform_cost_search,6
greedy_h_unmet_goals,6
greedy_h_pg_levelsum,6
greedy_h_pg_maxlevel,6
greedy_h_pg_setlevel,6
astar_h_unmet_goals,6
astar_h_pg_levelsum,6
astar_h_pg_maxlevel,6
astar_h_pg_setlevel,6
breadth_first_search,9
depth_first_graph_search,619
uniform_cost_search,9
greedy_h_unmet_goals,9
greedy_h_pg_levelsum,9
greedy_h_pg_maxlevel,9
greedy_h_pg_setlevel,9
astar_h_unmet_goals,9
astar_h_pg_levelsum,9
astar_h_pg_maxlevel,9
astar_h_pg_setlevel,9
breadth_first_search,12
depth_first_graph_search,392
uniform_cost_search,12
greedy_h_unmet_goals,15
greedy_h_pg_levelsum,14
greedy_h_pg_maxlevel,13
greedy_h_pg_setlevel,17
astar_h_unmet_goals,12
astar_h_pg_levelsum,12
astar_h_pg_maxlevel,12
astar_h_pg_setlevel,12
breadth_first_search,14
depth_first_graph_search,24132
uniform_cost_search,14
greedy_h_unmet_goals,18
greedy_h_pg_levelsum,17
greedy_h_pg_maxlevel,17
greedy_h_pg_setlevel,23
astar_h_unmet_goals,14
astar_h_pg_levelsum,15
astar_h_pg_maxlevel,14
astar_h_pg_setlevel,14
